Mes,Dia,Ano,Hora,Minutos,Dia da semana,no_rain,chuva_fraca,chuva,chuva_trovoada,chuva_intensa
7,27,2018,6,0,6,1,0,0,0,0
8,1,2018,7,0,4,1,0,0,0,0
8,1,2018,8,0,4,1,0,0,0,0
8,7,2018,22,0,3,1,0,0,0,0
8,8,2018,10,0,4,1,0,0,0,0
8,8,2018,12,0,4,1,0,0,0,0
8,8,2018,16,0,4,1,0,0,0,0
8,8,2018,19,0,4,1,0,0,0,0
8,13,2018,7,0,2,1,0,0,0,0
8,13,2018,8,0,2,1,0,0,0,0
8,14,2018,22,0,3,1,0,0,0,0
8,16,2018,12,0,5,1,0,0,0,0
8,23,2018,20,0,5,1,0,0,0,0
8,26,2018,23,0,8,1,0,0,0,0
8,31,2018,5,0,6,1,0,0,0,0
9,19,2018,13,0,4,1,0,0,0,0
9,25,2018,7,0,3,1,0,0,0,0
9,25,2018,8,0,3,1,0,0,0,0
9,25,2018,20,0,3,1,0,0,0,0
9,27,2018,11,0,5,1,0,0,0,0
9,28,2018,18,0,6,1,0,0,0,0
9,30,2018,9,0,8,1,0,0,0,0
9,30,2018,12,0,8,1,0,0,0,0
10,3,2018,12,0,4,1,0,0,0,0
10,6,2018,23,0,7,1,0,0,0,0
10,8,2018,9,0,2,1,0,0,0,0
10,8,2018,20,0,2,1,0,0,0,0
10,10,2018,11,0,4,1,0,0,0,0
10,11,2018,12,0,5,1,0,0,0,0
10,12,2018,1,0,6,1,0,0,0,0
10,13,2018,10,0,7,1,0,0,0,0
10,14,2018,21,0,8,1,0,0,0,0
10,15,2018,19,0,2,1,0,0,0,0
10,18,2018,14,0,5,1,0,0,0,0
10,20,2018,7,0,7,1,0,0,0,0
10,20,2018,10,0,7,1,0,0,0,0
10,24,2018,7,0,4,1,0,0,0,0
10,24,2018,8,0,4,1,0,0,0,0
10,24,2018,9,0,4,1,0,0,0,0
10,29,2018,7,0,2,1,0,0,0,0
10,31,2018,6,0,4,1,0,0,0,0
10,31,2018,7,0,4,1,0,0,0,0
11,9,2018,10,0,6,1,0,0,0,0
11,21,2018,21,0,4,1,0,0,0,0
11,25,2018,6,0,8,1,0,0,0,0
12,4,2018,6,0,3,1,0,0,0,0
12,4,2018,20,0,3,1,0,0,0,0
12,5,2018,18,0,4,1,0,0,0,0
12,10,2018,5,0,2,1,0,0,0,0
12,12,2018,2,0,4,1,0,0,0,0
12,12,2018,14,0,4,1,0,0,0,0
12,12,2018,15,0,4,1,0,0,0,0
12,12,2018,16,0,4,1,0,0,0,0
12,12,2018,17,0,4,1,0,0,0,0
12,12,2018,18,0,4,1,0,0,0,0
12,12,2018,19,0,4,1,0,0,0,0
12,12,2018,20,0,4,1,0,0,0,0
12,12,2018,21,0,4,1,0,0,0,0
12,12,2018,22,0,4,1,0,0,0,0
12,12,2018,23,0,4,1,0,0,0,0
12,13,2018,0,0,5,1,0,0,0,0
12,13,2018,1,0,5,1,0,0,0,0
12,13,2018,2,0,5,1,0,0,0,0
12,13,2018,3,0,5,1,0,0,0,0
12,13,2018,4,0,5,1,0,0,0,0
12,13,2018,5,0,5,1,0,0,0,0
12,13,2018,6,0,5,1,0,0,0,0
12,13,2018,7,0,5,1,0,0,0,0
12,13,2018,8,0,5,1,0,0,0,0
12,13,2018,9,0,5,1,0,0,0,0
12,13,2018,10,0,5,1,0,0,0,0
12,13,2018,11,0,5,1,0,0,0,0
12,13,2018,12,0,5,1,0,0,0,0
12,13,2018,13,0,5,1,0,0,0,0
12,13,2018,14,0,5,1,0,0,0,0
12,13,2018,15,0,5,1,0,0,0,0
12,13,2018,16,0,5,1,0,0,0,0
12,13,2018,17,0,5,1,0,0,0,0
12,13,2018,18,0,5,1,0,0,0,0
12,13,2018,19,0,5,1,0,0,0,0
12,13,2018,20,0,5,1,0,0,0,0
12,13,2018,21,0,5,1,0,0,0,0
12,13,2018,22,0,5,1,0,0,0,0
12,13,2018,23,0,5,1,0,0,0,0
12,14,2018,0,0,6,1,0,0,0,0
12,14,2018,1,0,6,1,0,0,0,0
12,14,2018,2,0,6,1,0,0,0,0
12,14,2018,3,0,6,1,0,0,0,0
12,14,2018,4,0,6,1,0,0,0,0
12,14,2018,5,0,6,1,0,0,0,0
12,14,2018,6,0,6,1,0,0,0,0
12,14,2018,7,0,6,1,0,0,0,0
12,14,2018,8,0,6,1,0,0,0,0
12,14,2018,9,0,6,1,0,0,0,0
12,14,2018,10,0,6,1,0,0,0,0
12,14,2018,11,0,6,1,0,0,0,0
12,14,2018,12,0,6,1,0,0,0,0
12,14,2018,13,0,6,1,0,0,0,0
12,14,2018,14,0,6,1,0,0,0,0
12,14,2018,15,0,6,1,0,0,0,0
12,14,2018,16,0,6,1,0,0,0,0
12,14,2018,17,0,6,1,0,0,0,0
12,14,2018,18,0,6,1,0,0,0,0
12,14,2018,19,0,6,1,0,0,0,0
12,14,2018,20,0,6,1,0,0,0,0
12,14,2018,21,0,6,1,0,0,0,0
12,14,2018,22,0,6,1,0,0,0,0
12,14,2018,23,0,6,1,0,0,0,0
12,15,2018,0,0,7,1,0,0,0,0
12,15,2018,1,0,7,1,0,0,0,0
12,15,2018,2,0,7,1,0,0,0,0
12,15,2018,3,0,7,1,0,0,0,0
12,15,2018,4,0,7,1,0,0,0,0
12,15,2018,5,0,7,1,0,0,0,0
12,15,2018,6,0,7,1,0,0,0,0
12,15,2018,7,0,7,1,0,0,0,0
12,15,2018,8,0,7,1,0,0,0,0
12,15,2018,9,0,7,1,0,0,0,0
12,15,2018,10,0,7,1,0,0,0,0
12,15,2018,11,0,7,1,0,0,0,0
12,15,2018,12,0,7,1,0,0,0,0
12,15,2018,13,0,7,1,0,0,0,0
12,15,2018,14,0,7,1,0,0,0,0
12,15,2018,15,0,7,1,0,0,0,0
12,15,2018,16,0,7,1,0,0,0,0
12,15,2018,17,0,7,1,0,0,0,0
12,15,2018,18,0,7,1,0,0,0,0
12,15,2018,19,0,7,1,0,0,0,0
12,15,2018,20,0,7,1,0,0,0,0
12,15,2018,21,0,7,1,0,0,0,0
12,15,2018,22,0,7,1,0,0,0,0
12,15,2018,23,0,7,1,0,0,0,0
12,16,2018,0,0,8,1,0,0,0,0
12,16,2018,1,0,8,1,0,0,0,0
12,16,2018,2,0,8,1,0,0,0,0
12,16,2018,3,0,8,1,0,0,0,0
12,16,2018,4,0,8,1,0,0,0,0
12,16,2018,5,0,8,1,0,0,0,0
12,16,2018,6,0,8,1,0,0,0,0
12,16,2018,7,0,8,1,0,0,0,0
12,16,2018,8,0,8,1,0,0,0,0
12,16,2018,9,0,8,1,0,0,0,0
12,16,2018,10,0,8,1,0,0,0,0
12,16,2018,11,0,8,1,0,0,0,0
12,16,2018,12,0,8,1,0,0,0,0
12,16,2018,13,0,8,1,0,0,0,0
12,16,2018,14,0,8,1,0,0,0,0
12,16,2018,15,0,8,1,0,0,0,0
12,16,2018,16,0,8,1,0,0,0,0
12,16,2018,17,0,8,1,0,0,0,0
12,16,2018,18,0,8,1,0,0,0,0
12,16,2018,19,0,8,1,0,0,0,0
12,16,2018,20,0,8,1,0,0,0,0
12,16,2018,21,0,8,1,0,0,0,0
12,16,2018,22,0,8,1,0,0,0,0
12,16,2018,23,0,8,1,0,0,0,0
12,17,2018,0,0,2,1,0,0,0,0
12,17,2018,1,0,2,1,0,0,0,0
12,17,2018,2,0,2,1,0,0,0,0
12,17,2018,3,0,2,1,0,0,0,0
12,17,2018,4,0,2,1,0,0,0,0
12,17,2018,5,0,2,1,0,0,0,0
12,17,2018,6,0,2,1,0,0,0,0
12,17,2018,7,0,2,1,0,0,0,0
12,17,2018,8,0,2,1,0,0,0,0
12,17,2018,9,0,2,1,0,0,0,0
12,17,2018,10,0,2,1,0,0,0,0
12,17,2018,11,0,2,1,0,0,0,0
12,17,2018,12,0,2,1,0,0,0,0
12,17,2018,13,0,2,1,0,0,0,0
12,17,2018,14,0,2,1,0,0,0,0
12,17,2018,15,0,2,1,0,0,0,0
12,17,2018,16,0,2,1,0,0,0,0
12,17,2018,17,0,2,1,0,0,0,0
12,17,2018,18,0,2,1,0,0,0,0
12,17,2018,19,0,2,1,0,0,0,0
12,17,2018,20,0,2,1,0,0,0,0
12,17,2018,21,0,2,1,0,0,0,0
12,17,2018,22,0,2,1,0,0,0,0
12,17,2018,23,0,2,1,0,0,0,0
12,18,2018,0,0,3,1,0,0,0,0
12,18,2018,1,0,3,1,0,0,0,0
12,18,2018,2,0,3,1,0,0,0,0
12,18,2018,3,0,3,1,0,0,0,0
12,18,2018,4,0,3,1,0,0,0,0
12,18,2018,5,0,3,1,0,0,0,0
12,18,2018,6,0,3,1,0,0,0,0
12,18,2018,7,0,3,1,0,0,0,0
12,18,2018,8,0,3,1,0,0,0,0
12,18,2018,9,0,3,1,0,0,0,0
12,18,2018,10,0,3,1,0,0,0,0
12,18,2018,11,0,3,1,0,0,0,0
12,18,2018,12,0,3,1,0,0,0,0
12,18,2018,13,0,3,1,0,0,0,0
12,18,2018,14,0,3,1,0,0,0,0
12,18,2018,15,0,3,1,0,0,0,0
12,18,2018,16,0,3,1,0,0,0,0
12,18,2018,17,0,3,1,0,0,0,0
12,18,2018,18,0,3,1,0,0,0,0
12,18,2018,19,0,3,1,0,0,0,0
12,18,2018,20,0,3,1,0,0,0,0
12,18,2018,21,0,3,1,0,0,0,0
12,18,2018,22,0,3,1,0,0,0,0
12,18,2018,23,0,3,1,0,0,0,0
12,19,2018,0,0,4,1,0,0,0,0
12,19,2018,1,0,4,1,0,0,0,0
12,19,2018,2,0,4,1,0,0,0,0
12,19,2018,3,0,4,1,0,0,0,0
12,19,2018,4,0,4,1,0,0,0,0
12,19,2018,5,0,4,1,0,0,0,0
12,19,2018,6,0,4,1,0,0,0,0
12,19,2018,7,0,4,1,0,0,0,0
12,19,2018,8,0,4,1,0,0,0,0
12,19,2018,9,0,4,1,0,0,0,0
12,19,2018,10,0,4,1,0,0,0,0
12,19,2018,11,0,4,1,0,0,0,0
12,19,2018,12,0,4,1,0,0,0,0
12,19,2018,13,0,4,1,0,0,0,0
12,19,2018,14,0,4,1,0,0,0,0
12,19,2018,15,0,4,1,0,0,0,0
12,19,2018,16,0,4,1,0,0,0,0
12,19,2018,17,0,4,1,0,0,0,0
12,19,2018,18,0,4,1,0,0,0,0
12,19,2018,19,0,4,1,0,0,0,0
12,19,2018,20,0,4,1,0,0,0,0
12,19,2018,21,0,4,1,0,0,0,0
12,19,2018,22,0,4,1,0,0,0,0
12,19,2018,23,0,4,1,0,0,0,0
12,20,2018,0,0,5,1,0,0,0,0
12,20,2018,1,0,5,1,0,0,0,0
12,20,2018,2,0,5,1,0,0,0,0
12,20,2018,3,0,5,1,0,0,0,0
12,20,2018,4,0,5,1,0,0,0,0
12,20,2018,5,0,5,1,0,0,0,0
12,20,2018,6,0,5,1,0,0,0,0
12,20,2018,7,0,5,1,0,0,0,0
12,20,2018,8,0,5,1,0,0,0,0
12,20,2018,9,0,5,1,0,0,0,0
12,20,2018,10,0,5,1,0,0,0,0
12,20,2018,11,0,5,1,0,0,0,0
12,20,2018,12,0,5,1,0,0,0,0
12,20,2018,13,0,5,1,0,0,0,0
12,20,2018,14,0,5,1,0,0,0,0
12,20,2018,15,0,5,1,0,0,0,0
12,20,2018,16,0,5,1,0,0,0,0
12,20,2018,17,0,5,1,0,0,0,0
12,20,2018,18,0,5,1,0,0,0,0
12,20,2018,19,0,5,1,0,0,0,0
12,20,2018,20,0,5,1,0,0,0,0
12,20,2018,21,0,5,1,0,0,0,0
12,20,2018,22,0,5,1,0,0,0,0
12,20,2018,23,0,5,1,0,0,0,0
12,21,2018,0,0,6,1,0,0,0,0
12,21,2018,1,0,6,1,0,0,0,0
12,21,2018,2,0,6,1,0,0,0,0
12,21,2018,3,0,6,1,0,0,0,0
12,21,2018,4,0,6,1,0,0,0,0
12,21,2018,5,0,6,1,0,0,0,0
12,21,2018,6,0,6,1,0,0,0,0
12,21,2018,7,0,6,1,0,0,0,0
12,21,2018,8,0,6,1,0,0,0,0
12,21,2018,9,0,6,1,0,0,0,0
12,21,2018,10,0,6,1,0,0,0,0
12,21,2018,11,0,6,1,0,0,0,0
12,21,2018,12,0,6,1,0,0,0,0
12,21,2018,13,0,6,1,0,0,0,0
12,21,2018,14,0,6,1,0,0,0,0
12,21,2018,15,0,6,1,0,0,0,0
12,21,2018,16,0,6,1,0,0,0,0
12,21,2018,17,0,6,1,0,0,0,0
12,21,2018,18,0,6,1,0,0,0,0
12,21,2018,19,0,6,1,0,0,0,0
12,21,2018,20,0,6,1,0,0,0,0
12,21,2018,21,0,6,1,0,0,0,0
12,21,2018,22,0,6,1,0,0,0,0
12,21,2018,23,0,6,1,0,0,0,0
12,22,2018,0,0,7,1,0,0,0,0
12,22,2018,1,0,7,1,0,0,0,0
12,22,2018,2,0,7,1,0,0,0,0
12,22,2018,3,0,7,1,0,0,0,0
12,22,2018,4,0,7,1,0,0,0,0
12,22,2018,5,0,7,1,0,0,0,0
12,22,2018,6,0,7,1,0,0,0,0
12,22,2018,7,0,7,1,0,0,0,0
12,22,2018,8,0,7,1,0,0,0,0
12,22,2018,9,0,7,1,0,0,0,0
12,22,2018,10,0,7,1,0,0,0,0
12,22,2018,11,0,7,1,0,0,0,0
12,22,2018,12,0,7,1,0,0,0,0
12,22,2018,13,0,7,1,0,0,0,0
12,22,2018,14,0,7,1,0,0,0,0
12,22,2018,15,0,7,1,0,0,0,0
12,22,2018,16,0,7,1,0,0,0,0
12,22,2018,17,0,7,1,0,0,0,0
12,22,2018,18,0,7,1,0,0,0,0
12,22,2018,19,0,7,1,0,0,0,0
12,22,2018,20,0,7,1,0,0,0,0
12,22,2018,21,0,7,1,0,0,0,0
12,22,2018,22,0,7,1,0,0,0,0
12,22,2018,23,0,7,1,0,0,0,0
12,23,2018,0,0,8,1,0,0,0,0
12,23,2018,1,0,8,1,0,0,0,0
12,23,2018,2,0,8,1,0,0,0,0
12,23,2018,3,0,8,1,0,0,0,0
12,23,2018,4,0,8,1,0,0,0,0
12,23,2018,5,0,8,1,0,0,0,0
12,23,2018,6,0,8,1,0,0,0,0
12,23,2018,7,0,8,1,0,0,0,0
12,23,2018,8,0,8,1,0,0,0,0
12,23,2018,9,0,8,1,0,0,0,0
12,23,2018,10,0,8,1,0,0,0,0
12,23,2018,11,0,8,1,0,0,0,0
12,23,2018,12,0,8,1,0,0,0,0
12,23,2018,13,0,8,1,0,0,0,0
12,23,2018,14,0,8,1,0,0,0,0
12,23,2018,15,0,8,1,0,0,0,0
12,23,2018,16,0,8,1,0,0,0,0
12,23,2018,17,0,8,1,0,0,0,0
12,23,2018,18,0,8,1,0,0,0,0
12,23,2018,19,0,8,1,0,0,0,0
12,23,2018,20,0,8,1,0,0,0,0
12,23,2018,21,0,8,1,0,0,0,0
12,23,2018,22,0,8,1,0,0,0,0
12,23,2018,23,0,8,1,0,0,0,0
12,24,2018,0,0,2,1,0,0,0,0
12,24,2018,1,0,2,1,0,0,0,0
12,24,2018,2,0,2,1,0,0,0,0
12,24,2018,3,0,2,1,0,0,0,0
12,24,2018,4,0,2,1,0,0,0,0
12,24,2018,5,0,2,1,0,0,0,0
12,24,2018,6,0,2,1,0,0,0,0
12,24,2018,7,0,2,1,0,0,0,0
12,24,2018,8,0,2,1,0,0,0,0
12,24,2018,9,0,2,1,0,0,0,0
12,24,2018,10,0,2,1,0,0,0,0
12,24,2018,11,0,2,1,0,0,0,0
12,24,2018,12,0,2,1,0,0,0,0
12,24,2018,13,0,2,1,0,0,0,0
12,24,2018,14,0,2,1,0,0,0,0
12,24,2018,15,0,2,1,0,0,0,0
12,24,2018,16,0,2,1,0,0,0,0
12,24,2018,17,0,2,1,0,0,0,0
12,24,2018,18,0,2,1,0,0,0,0
12,24,2018,19,0,2,1,0,0,0,0
12,24,2018,20,0,2,1,0,0,0,0
12,24,2018,21,0,2,1,0,0,0,0
12,24,2018,22,0,2,1,0,0,0,0
12,24,2018,23,0,2,1,0,0,0,0
12,25,2018,0,0,3,1,0,0,0,0
12,25,2018,1,0,3,1,0,0,0,0
12,25,2018,2,0,3,1,0,0,0,0
12,25,2018,3,0,3,1,0,0,0,0
12,25,2018,4,0,3,1,0,0,0,0
12,25,2018,5,0,3,1,0,0,0,0
12,25,2018,6,0,3,1,0,0,0,0
12,25,2018,7,0,3,1,0,0,0,0
12,25,2018,8,0,3,1,0,0,0,0
12,25,2018,9,0,3,1,0,0,0,0
12,25,2018,10,0,3,1,0,0,0,0
12,25,2018,11,0,3,1,0,0,0,0
12,25,2018,12,0,3,1,0,0,0,0
12,25,2018,13,0,3,1,0,0,0,0
12,25,2018,14,0,3,1,0,0,0,0
12,25,2018,15,0,3,1,0,0,0,0
12,25,2018,16,0,3,1,0,0,0,0
12,25,2018,17,0,3,1,0,0,0,0
12,25,2018,18,0,3,1,0,0,0,0
12,25,2018,19,0,3,1,0,0,0,0
12,25,2018,20,0,3,1,0,0,0,0
12,25,2018,21,0,3,1,0,0,0,0
12,25,2018,22,0,3,1,0,0,0,0
12,25,2018,23,0,3,1,0,0,0,0
12,26,2018,0,0,4,1,0,0,0,0
12,26,2018,1,0,4,1,0,0,0,0
12,26,2018,2,0,4,1,0,0,0,0
12,26,2018,3,0,4,1,0,0,0,0
12,26,2018,4,0,4,1,0,0,0,0
12,26,2018,5,0,4,1,0,0,0,0
12,26,2018,6,0,4,1,0,0,0,0
12,26,2018,7,0,4,1,0,0,0,0
12,26,2018,8,0,4,1,0,0,0,0
12,26,2018,9,0,4,1,0,0,0,0
12,26,2018,10,0,4,1,0,0,0,0
12,26,2018,11,0,4,1,0,0,0,0
12,26,2018,12,0,4,1,0,0,0,0
12,26,2018,13,0,4,1,0,0,0,0
12,26,2018,14,0,4,1,0,0,0,0
12,26,2018,15,0,4,1,0,0,0,0
12,26,2018,16,0,4,1,0,0,0,0
12,26,2018,17,0,4,1,0,0,0,0
12,26,2018,18,0,4,1,0,0,0,0
12,26,2018,19,0,4,1,0,0,0,0
12,26,2018,20,0,4,1,0,0,0,0
12,26,2018,21,0,4,1,0,0,0,0
12,26,2018,22,0,4,1,0,0,0,0
12,26,2018,23,0,4,1,0,0,0,0
12,27,2018,0,0,5,1,0,0,0,0
12,27,2018,1,0,5,1,0,0,0,0
12,27,2018,2,0,5,1,0,0,0,0
12,27,2018,3,0,5,1,0,0,0,0
12,27,2018,4,0,5,1,0,0,0,0
12,27,2018,5,0,5,1,0,0,0,0
12,27,2018,6,0,5,1,0,0,0,0
12,27,2018,7,0,5,1,0,0,0,0
12,27,2018,8,0,5,1,0,0,0,0
12,27,2018,9,0,5,1,0,0,0,0
12,27,2018,10,0,5,1,0,0,0,0
12,27,2018,11,0,5,1,0,0,0,0
12,27,2018,12,0,5,1,0,0,0,0
12,27,2018,13,0,5,1,0,0,0,0
12,27,2018,14,0,5,1,0,0,0,0
12,27,2018,15,0,5,1,0,0,0,0
12,27,2018,16,0,5,1,0,0,0,0
12,27,2018,17,0,5,1,0,0,0,0
12,27,2018,18,0,5,1,0,0,0,0
12,27,2018,19,0,5,1,0,0,0,0
12,27,2018,20,0,5,1,0,0,0,0
12,27,2018,21,0,5,1,0,0,0,0
12,27,2018,22,0,5,1,0,0,0,0
12,27,2018,23,0,5,1,0,0,0,0
12,28,2018,0,0,6,1,0,0,0,0
12,28,2018,1,0,6,1,0,0,0,0
12,28,2018,2,0,6,1,0,0,0,0
12,28,2018,3,0,6,1,0,0,0,0
12,28,2018,4,0,6,1,0,0,0,0
12,28,2018,5,0,6,1,0,0,0,0
12,28,2018,6,0,6,1,0,0,0,0
12,28,2018,7,0,6,1,0,0,0,0
12,28,2018,8,0,6,1,0,0,0,0
12,28,2018,9,0,6,1,0,0,0,0
